"","ibge","week","year","municipality","population","deaths","likely_cases","cases_pcap","deaths_pcap","Years.Range"
"204","130260","19",2019,"130260 MANAUS",2182763,0,12,0.549761930177486,0,"2019/2020"
"205","130260","19",2020,"130260 MANAUS",2219580,0,14,0.630749961704467,0,"2020/2021"
"206","130260","19",2021,"130260 MANAUS",2255903,0,105,4.65445544422788,0,"2021/2022"
"207","130260","19",2022,"130260 MANAUS",2054731,0,33,1.60604964834813,0,"2022/2023"
"208","130260","19",2023,"130260 MANAUS",2063689,0,28,1.35679358663054,0,"2023/2024"
"209","130260","19",2024,"130260 MANAUS",2279686,0,20,0.877313805497775,0,"2024/2025"
"210","130260","20",2014,"130260 MANAUS",2020301,0,67,3.3163375160434,0,"2014/2015"
"211","130260","20",2015,"130260 MANAUS",2057711,0,24,1.16634454498226,0,"2015/2016"
"212","130260","20",2016,"130260 MANAUS",2094391,0,169,8.06917142023624,0,"2016/2017"
"213","130260","20",2017,"130260 MANAUS",2130264,0,50,2.34712692886891,0,"2017/2018"
"214","130260","20",2018,"130260 MANAUS",2145444,0,39,1.8178055451459,0,"2018/2019"
"215","130260","20",2019,"130260 MANAUS",2182763,0,16,0.733015906903315,0,"2019/2020"
"216","130260","20",2020,"130260 MANAUS",2219580,0,13,0.58569639301129,0,"2020/2021"
"217","130260","20",2021,"130260 MANAUS",2255903,0,116,5.14206506219461,0,"2021/2022"
"218","130260","20",2022,"130260 MANAUS",2054731,0,30,1.46004513486194,0,"2022/2023"
"219","130260","20",2023,"130260 MANAUS",2063689,0,20,0.969138276164674,0,"2023/2024"
"220","130260","20",2024,"130260 MANAUS",2279686,0,25,1.09664225687222,0,"2024/2025"
"221","130260","21",2014,"130260 MANAUS",2020301,0,72,3.563825390375,0,"2014/2015"
"222","130260","21",2015,"130260 MANAUS",2057711,0,49,2.38128677933879,0,"2015/2016"
"223","130260","21",2016,"130260 MANAUS",2094391,0,142,6.78001385605649,0,"2016/2017"
"224","130260","21",2017,"130260 MANAUS",2130264,0,54,2.53489708317842,0,"2017/2018"
"225","130260","21",2018,"130260 MANAUS",2145444,0,42,1.95763674092635,0,"2018/2019"
"226","130260","21",2019,"130260 MANAUS",2182763,0,9,0.412321447633115,0,"2019/2020"
"227","130260","21",2020,"130260 MANAUS",2219580,0,11,0.495589255624938,0,"2020/2021"
"228","130260","21",2021,"130260 MANAUS",2255903,0,113,5.00908062093095,0,"2021/2022"
"229","130260","21",2022,"130260 MANAUS",2054731,0,26,1.26537245021368,0,"2022/2023"
"230","130260","21",2023,"130260 MANAUS",2063689,0,26,1.25987975901408,0,"2023/2024"
"231","130260","21",2024,"130260 MANAUS",2279686,0,16,0.70185104439822,0,"2024/2025"
"232","130260","22",2014,"130260 MANAUS",2020301,0,70,3.46483024064236,0,"2014/2015"
"233","130260","22",2015,"130260 MANAUS",2057711,0,29,1.40933299185357,0,"2015/2016"
"234","130260","22",2016,"130260 MANAUS",2094391,0,129,6.15930836219216,0,"2016/2017"
"235","130260","22",2017,"130260 MANAUS",2130264,0,32,1.5021612344761,0,"2017/2018"
"236","130260","22",2018,"130260 MANAUS",2145444,0,23,1.07203916765015,0,"2018/2019"
"237","130260","22",2019,"130260 MANAUS",2182763,0,16,0.733015906903315,0,"2019/2020"
"238","130260","22",2020,"130260 MANAUS",2219580,0,21,0.9461249425567,0,"2020/2021"
"239","130260","22",2021,"130260 MANAUS",2255903,0,108,4.78743988549153,0,"2021/2022"
"240","130260","22",2022,"130260 MANAUS",2054731,0,33,1.60604964834813,0,"2022/2023"
"241","130260","22",2023,"130260 MANAUS",2063689,0,16,0.775310620931739,0,"2023/2024"
"242","130260","22",2024,"130260 MANAUS",2279686,0,17,0.745716734673109,0,"2024/2025"
"243","130260","23",2014,"130260 MANAUS",2020301,0,42,2.07889814438542,0,"2014/2015"
"244","130260","23",2015,"130260 MANAUS",2057711,0,29,1.40933299185357,0,"2015/2016"
"245","130260","23",2016,"130260 MANAUS",2094391,0,110,5.25212340962122,0,"2016/2017"
"246","130260","23",2017,"130260 MANAUS",2130264,0,46,2.1593567745594,0,"2017/2018"
"247","130260","23",2018,"130260 MANAUS",2145444,0,28,1.30509116061757,0,"2018/2019"
"248","130260","23",2019,"130260 MANAUS",2182763,0,16,0.733015906903315,0,"2019/2020"
"249","130260","23",2020,"130260 MANAUS",2219580,0,23,1.03623207994305,0,"2020/2021"
"250","130260","23",2021,"130260 MANAUS",2255903,0,95,4.21117397334903,0,"2021/2022"
"251","130260","23",2022,"130260 MANAUS",2054731,0,37,1.80072233299639,0,"2022/2023"
"252","130260","23",2023,"130260 MANAUS",2063689,0,25,1.21142284520584,0,"2023/2024"
"253","130260","23",2024,"130260 MANAUS",2279686,0,21,0.921179495772663,0,"2024/2025"
"254","130260","24",2014,"130260 MANAUS",2020301,0,40,1.97990299465278,0,"2014/2015"
"255","130260","24",2015,"130260 MANAUS",2057711,0,28,1.36073530247931,0,"2015/2016"
"256","130260","24",2016,"130260 MANAUS",2094391,0,129,6.15930836219216,0,"2016/2017"
"257","130260","24",2017,"130260 MANAUS",2130264,0,33,1.54910377305348,0,"2017/2018"
"258","130260","24",2018,"130260 MANAUS",2145444,0,40,1.86441594373938,0,"2018/2019"
"259","130260","24",2019,"130260 MANAUS",2182763,0,14,0.6413889185404,0,"2019/2020"
"260","130260","24",2020,"130260 MANAUS",2219580,0,29,1.30655349210211,0,"2020/2021"
"261","130260","24",2021,"130260 MANAUS",2255903,0,108,4.78743988549153,0,"2021/2022"
"262","130260","24",2022,"130260 MANAUS",2054731,0,19,0.924695252079226,0,"2022/2023"
"263","130260","24",2023,"130260 MANAUS",2063689,0,30,1.45370741424701,0,"2023/2024"
"264","130260","24",2024,"130260 MANAUS",2279686,0,17,0.745716734673109,0,"2024/2025"
